qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
PlySs2	286604.5-LCADKAAL_01459	100.000	245	0	0	1	245	1	245	1.89e-177	492
PlySs2	1214151.4-HCGJJKEI_01502	100.000	245	0	0	1	245	1	245	1.89e-177	492
PlySs2	1214151.3-LGMEMOFK_02071	100.000	245	0	0	1	245	1	245	1.89e-177	492
PlySs2	1307.950-OLNHNGDG_02231	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.92-AAHGAKOI_00872	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.890-FBKOOIHD_01214	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.865-BGGIOIMI_01417	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.650-HHHODFDM_01385	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.648-BDDJIEDL_01337	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.620-KHHALEEL_02198	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5917-OFLFEHNH_01273	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5597-GCFEJENG_00927	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5596-POCIPBOC_01211	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5595-LKHHFLLO_01230	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5593-NALGNHAL_01306	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5592-NLGKFKIF_00799	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5591-DJCPGPFP_00829	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5590-KOFJILHN_00660	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5589-ICOHBAMB_00643	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5588-NGHCBABJ_00844	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5582-GBGKAGPG_01544	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5581-OLECNBNO_01543	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5580-DCGOHPCD_01543	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5579-MBNFDOLK_01543	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5578-PGAGJKAN_01543	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5577-OHAJLHME_01541	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5576-AJPOFNMC_01546	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5575-AIBGNAKO_01545	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5574-CJFNDONC_01541	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5330-DGKGAKAN_01884	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5329-GKJOGDAI_01826	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5308-BAPLIHJM_02197	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5307-MLJJCAMN_02191	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5306-CIGECLHE_01267	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5128-FALAJNMH_02336	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5091-NLINANOP_01252	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5087-AFEFDPMO_01327	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5081-HINPNMPA_01162	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5062-MKGAAAPI_01320	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5060-NOMIEDND_01894	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5057-MDBICOIB_01246	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5055-ICNPIAGD_01251	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.5007-KEPFFOPK_00470	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.492-DOPBLBGF_00961	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.4924-ELNOMPIF_01673	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.470-DFNCDHIE_02071	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.4188-JDAMPKNL_00080	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.4186-ABIJCKKG_00009	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.4174-OCPNMEKK_00453	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.4157-JEKIILNL_00303	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.4155-JELKHEEC_00303	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.4133-KAHHNIEF_01617	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.388-PGEBHJJD_01178	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.363-FFEIOKNF_01830	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3566-PFAHDGGI_01763	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3438-HKMCPJML_00983	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3436-IDNIJNLC_01291	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3433-CAAFJHCO_01331	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3432-NEDNJKCK_01321	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3431-BDNJCKMD_01366	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3430-NHLAOCOM_01345	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3168-PEIMNHOK_00724	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3113-CIKPFFAL_00596	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3111-APCMIAOE_00252	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3110-KIHNOOCA_00737	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3109-BCEIGNGJ_00103	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3108-LOIBKGLB_00908	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3107-BELENJLE_00616	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3106-FAEGNCDI_00905	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3104-OADJHGKH_00544	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3103-GGJHKFFI_00776	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3102-AAONFGFL_00661	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3100-NONGHDIM_00241	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.3098-IHOBHLPG_00067	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.307-AKMJIHNG_00429	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.2841-PBDNBLJB_02122	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.282-JAPHCABH_00414	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.2796-LCFAPNJB_00898	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.2793-IBNKANOB_01164	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.2790-GDABKCBK_01254	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.2607-CGCHLKPB_02130	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.2606-NICIEMGJ_02172	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.2605-EFLAGGHC_01762	99.592	245	1	0	1	245	1	245	4.85e-177	491
PlySs2	1307.2604-JJAOPPIF_02143	99.592	245	1	0	1	245	1	245	4.85e-177	491
